,hhid,WEALTH_CAT,WEALTH_IND,DHSCLUST,LATNUM,LONGNUM,ALT_GPS,URBAN_RURA,DHSREGNA
0,1002,richer,39706,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
1,1004,richer,81577,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
2,1007,richer,65812,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
3,1010,richest,90827,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
4,1013,richest,143423,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
5,1016,richer,72817,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
6,1019,richest,97784,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
7,1022,richest,119730,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
8,1025,richest,119730,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
9,1027,richer,58570,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
10,1030,richer,69786,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
11,1033,richer,51421,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
12,1036,richer,38798,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
13,1039,richer,33116,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
14,1042,middle,-14819,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
15,1045,richest,86420,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
16,1048,richest,167655,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
17,1051,middle,-3974,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
18,1053,richest,115612,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
19,1056,richer,49942,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
20,1059,richest,130407,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
21,1062,richest,84865,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
22,1065,richest,96106,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
23,1068,richer,60300,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
24,1071,richest,102076,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
25,2003,richer,48614,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
26,2005,richer,46585,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
27,2007,middle,-46072,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
28,2009,richer,81059,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
29,2011,richer,16919,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
30,2013,richest,106782,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
31,2016,richest,88950,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
32,2018,middle,4972,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
33,2020,richest,86742,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
34,2022,richer,80043,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
35,2024,middle,-9505,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
36,2026,richer,17458,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
37,2029,middle,-16620,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
38,2031,richer,59598,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
39,2033,richer,47150,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
40,2035,middle,-44464,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
41,2037,richer,52238,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
42,2039,poorest,-151387,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
43,2042,richer,37340,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
44,2044,poorest,-134461,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
45,2048,richer,41280,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
46,2050,poorest,-137684,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
47,2052,middle,4119,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
48,2054,middle,-25705,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
49,3002,poorest,-118604,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
50,3003,poorer,-63198,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
51,3005,poorest,-165673,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
52,3007,poorer,-71183,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
53,3008,poorer,-71709,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
54,3010,poorest,-126284,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
55,3012,poorer,-99423,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
56,3014,poorest,-152049,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
57,3015,poorer,-100221,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
58,3017,poorer,-108774,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
59,3019,poorer,-68023,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
60,3020,poorest,-125465,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
61,3022,poorest,-113217,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
62,3024,poorer,-84339,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
63,3026,poorer,-87212,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
64,3027,poorest,-124238,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
65,3029,poorer,-77116,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
66,3031,poorest,-131140,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
67,3033,poorer,-66071,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
68,3034,poorer,-71031,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
69,3036,middle,-46651,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
70,3038,poorest,-131588,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
71,3039,poorest,-125862,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
72,3041,poorer,-87300,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
73,3043,poorest,-157631,3,-6.23072603027,36.5873291692,1143.540161,R,Dodoma
74,4002,poorest,-114384,4,-6.16434382862,36.0444481995,1012.547607,R,Dodoma
75,4005,poorest,-123108,4,-6.16434382862,36.0444481995,1012.547607,R,Dodoma
76,4008,poorest,-147135,4,-6.16434382862,36.0444481995,1012.547607,R,Dodoma
77,4011,poorest,-182126,4,-6.16434382862,36.0444481995,1012.547607,R,Dodoma
78,4013,poorest,-169383,4,-6.16434382862,36.0444481995,1012.547607,R,Dodoma
79,4016,poorest,-148875,4,-6.16434382862,36.0444481995,1012.547607,R,Dodoma
80,4019,poorest,-215175,4,-6.16434382862,36.0444481995,1012.547607,R,Dodoma
81,4022,poorest,-163911,4,-6.16434382862,36.0444481995,1012.547607,R,Dodoma
82,4025,poorer,-80770,4,-6.16434382862,36.0444481995,1012.547607,R,Dodoma
83,4028,poorest,-146676,4,-6.16434382862,36.0444481995,1012.547607,R,Dodoma
