,hhid,WEALTH_CAT,WEALTH_IND,DHSCLUST,LATNUM,LONGNUM,ALT_GPS,URBAN_RURA,DHSREGNA
0,10001,poorer,-79354,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
1,10004,middle,-22460,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
2,10007,poorest,-102886,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
3,10011,poorer,-61824,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
4,10014,poorer,-65475,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
5,10017,poorer,-65309,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
6,10020,middle,-15934,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
7,10024,poorer,-60153,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
8,10027,middle,-47876,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
9,10030,poorer,-68435,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
10,10034,middle,-57294,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
11,10037,poorer,-81558,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
12,10040,middle,-20781,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
13,10043,poorer,-84888,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
14,10047,poorer,-72522,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
15,10050,poorer,-61226,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
16,10053,poorer,-76436,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
17,10056,poorer,-76633,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
18,10060,middle,-36914,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
19,10063,middle,-31518,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
20,10066,poorest,-120532,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
21,10070,middle,-10617,1,-4.78710792947,35.6378814139,1350.229492,R,Dodoma
22,20002,poorer,-74525,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
23,20009,poorer,-80205,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
24,20015,poorer,-74110,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
25,20022,poorest,-89291,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
26,20029,poorer,-77024,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
27,20035,poorer,-75343,2,-6.42552225774,36.5519325336,983.11145,R,Dodoma
